ISO_TIME,NATURE,LAT,LON,WMO_WIND,WMO_PRES
 , ,degrees_north,degrees_east,kts,mb
5/20/2023 21:00,Tropical,6.8,148.9, , 
5/21/2023 0:00,Tropical,7,148.8,50,992
5/21/2023 3:00,Tropical,7.3,148.6, , 
5/21/2023 6:00,Tropical,7.5,148.3,50,992
5/21/2023 9:00,Tropical,7.6,148.1, , 
5/21/2023 12:00,Tropical,7.8,147.9,55,990
5/21/2023 15:00,Tropical,8,147.8, , 
5/21/2023 18:00,Tropical,8.2,147.6,65,980
5/21/2023 21:00,Tropical,8.5,147.5, , 
5/22/2023 0:00,Tropical,8.8,147.3,65,980
5/22/2023 3:00,Tropical,9.1,147.2, , 
5/22/2023 6:00,Tropical,9.4,147,70,975
5/22/2023 9:00,Tropical,9.6,147, , 
5/22/2023 12:00,Tropical,9.9,146.9,75,970
5/22/2023 15:00,Tropical,10.2,146.9, , 
5/22/2023 18:00,Tropical,10.5,146.9,95,940
5/22/2023 21:00,Tropical,10.8,146.9, , 
5/23/2023 0:00,Tropical,11.2,146.9,95,940
5/23/2023 3:00,Tropical,11.5,146.7, , 
5/23/2023 6:00,Tropical,11.8,146.5,105,920
5/23/2023 9:00,Tropical,12,146.2, , 
5/23/2023 12:00,Tropical,12.2,146,105,920
5/23/2023 15:00,Tropical,12.4,145.8, , 
5/23/2023 18:00,Tropical,12.5,145.7,105,920
5/23/2023 21:00,Tropical,12.8,145.6, , 
5/24/2023 0:00,Tropical,13,145.6,95,935
5/24/2023 3:00,Tropical,13.3,145.4, , 
5/24/2023 6:00,Tropical,13.6,145.2,95,935
5/24/2023 9:00,Tropical,13.7,145, , 
5/24/2023 12:00,Tropical,13.8,144.7,95,935
5/24/2023 15:00,Tropical,14,144.4, , 
5/24/2023 18:00,Tropical,14.1,144.1,95,935
5/24/2023 21:00,Tropical,14.1,143.8, , 
5/25/2023 0:00,Tropical,14.2,143.5,100,925
5/25/2023 3:00,Tropical,14.4,143.2, , 
5/25/2023 6:00,Tropical,14.5,142.8,110,905
5/25/2023 9:00,Tropical,14.6,142.2, , 
5/25/2023 12:00,Tropical,14.7,141.5,115,900
5/25/2023 15:00,Tropical,14.8,141, , 
5/25/2023 18:00,Tropical,14.9,140.4,115,900
5/25/2023 21:00,Tropical,15,139.8, , 
5/26/2023 0:00,Tropical,15.1,139.2,115,900
5/26/2023 3:00,Tropical,15.2,138.6, , 
5/26/2023 6:00,Tropical,15.3,137.9,115,900
5/26/2023 9:00,Tropical,15.5,137.2, , 
5/26/2023 12:00,Tropical,15.7,136.5,115,900
5/26/2023 15:00,Tropical,15.8,135.7, , 
5/26/2023 18:00,Tropical,16,134.9,115,900
5/26/2023 21:00,Tropical,16.2,134.2, , 
5/27/2023 0:00,Tropical,16.4,133.5,105,910
5/27/2023 3:00,Tropical,16.5,132.8, , 
5/27/2023 6:00,Tropical,16.6,132.2,95,925
5/27/2023 9:00,Tropical,16.7,131.5, , 
5/27/2023 12:00,Tropical,16.8,130.9,85,945
5/27/2023 15:00,Tropical,16.9,130.3, , 
5/27/2023 18:00,Tropical,17.1,129.7,85,945
5/27/2023 21:00,Tropical,17.1,129.2, , 
5/28/2023 0:00,Tropical,17.2,128.7,85,945
5/28/2023 3:00,Tropical,17.4,128.3, , 
5/28/2023 6:00,Tropical,17.6,127.9,85,945
5/28/2023 9:00,Tropical,17.8,127.6, , 
5/28/2023 12:00,Tropical,18,127.4,85,945
