"number of behavioral segment","name of behavioral segment",trend,dip,length[km],"fault type","upthrown side","slip rate[m/ky]","slip per event[m]","recurrence interval[ky]","age of the last faulting, field data","age of the last faulting, historical record","elapsed time rate","rupture probability[%] BPT","rupture probability[%] Poisson","Behavioral Segment Outline",Locality,Displacement,Event,"note of behavioral segment","note of slip rate","note of slip per event","note of recurrence interval","note of age of last faulting","endpoint latitude(north)","endpoint longitude(north)","endpoint latitude(south)","endpoint longitude(south) "
008-01,Higashitoikanbetsu,10Åã,"45 Åã W",20,Rev.,W,"   0.2","   2.3","  12.0",,,,,0.3,GO,GO,GO,GO,GO,0,"tentative estimate based on vertical displacement of terrace surfaces (Oka,1985)","tentative estimate based on vertical displacement of terrace surfaces (Oka,1985)","N-S trending west-dipping reverse fault in northern Hokkaido","tentative estimate based on vertical displacement of terrace surfaces (Oka,1985)","calculated based on empirical relationship between segment length and slip per event proposed by Awata (1999)",45.0550394889,142.0884837274,44.8734228419,142.0547422845
009-01,Furano,10Åã,"45 Åã W",28,Rev.,W,"   0.6","   3.3","   5.4",,,,,0.6,GO,GO,GO,GO,GO,1,"tentative estimate based on vertical displacement of terrace surfaces (Yanagida et al,1985; Hokkaido,2003)","tentative estimate based on vertical displacement of terrace surfaces (Yanagida et al,1985; Hokkaido,2003)","N-S trending west-dipping reverse fault along the western margin of the Furano Basin in central Hokkaido","tentative estimate based on vertical displacement of terrace surfaces (Yanagida et al,1985; Hokkaido,2003)","calculated based on empirical relationship between segment length and slip per event proposed by Awata (1999)",43.4490257526721,142.44905332173,43.2099091491,142.3533927338
009-02,Rokugo,20Åã,"45 Åã E",23,Rev.,E,"   0.6","   2.7","   4.5",,,,,0.7,GO,GO,GO,GO,GO,1,"tentative estimate based on vertical displacement of terrace surfaces (Yanagida et al,1985; Hokkaido,2003)","tentative estimate based on vertical displacement of terrace surfaces (Yanagida et al,1985; Hokkaido,2003)","N-S trending east-dipping reverse fault along the eastern margin of the Furano Basin in central Hokkaido","tentative estimate based on vertical displacement of terrace surfaces (Yanagida et al,1985; Hokkaido,2003)","calculated based on empirical relationship between segment length and slip per event proposed by Awata (1999)",43.3783589512953,142.471944610011,43.1883017616,142.3529331267
009-03,Shimokanayama,10Åã,"45 Åã W",4,Rev.,W,"   0.1",,,,,,,,GO,GO,GO,GO,GO,0,"tentative estimate based on vertical displacement of terrace surfaces (Yanagida et al,1985)","tentative estimate based on vertical displacement of terrace surfaces (Yanagida et al,1985)","N-S trending west-dipping reverse fault along the south of the Furano Basin in central Hokkaido","tentative estimate based on vertical displacement of terrace surfaces (Yanagida et al,1985)","out of current evaluation project because of its low activity",43.1875045958,142.4048284216,43.1551852393,142.3963142212
010-01,Yoshizumi,320Åã,"45 Åã E",11,Rev.,E,"   0.0",,,,,,,,GO,GO,GO,GO,GO,0,"tentative estimate based on a qualitative assessment of its geomorphic expression","tentative estimate based on a qualitative assessment of its geomorphic expression","NW-SE trending northeast-dipping reverse fault in central Hokkaido","tentative estimate based on a qualitative assessment of its geomorphic expression","out of current evaluation project because of its low activity",43.7082244734,142.1185768998,43.6295850949,142.2079366383
011-01,Ogifushi,300Åã,"45 Åã S",13,Rev.,S,"   0.1","   1.5","  15.0",,,,,0.2,GO,GO,GO,GO,GO,0,"tentative estimate based on a qualitative assessment of its geomorphic expression","tentative estimate based on a qualitative assessment of its geomorphic expression","NW-SE trending southwest-dipping reverse fault in central Hokkaido","tentative estimate based on a qualitative assessment of its geomorphic expression","calculated based on empirical relationship between segment length and slip per event proposed by Awata (1999)",42.2439589398,142.5927041114,42.1862272832,142.7258366021
012-01,Horonobe,340Åã,"45 Åã E",25,Rev.,E,"   0.3","   2.9","   9.1",,,,,0.3,GO,GO,GO,GO,GO,0,"tentative estimate based on vertical displacement of terrace surfaces (Nakata and Imaizumi,1985)","tentative estimate based on vertical displacement of terrace surfaces (Nakata and Imaizumi,1985)","NNW-SSE trending east-dipping reverse fault in the Soya Hills, northern Hokkaido","tentative estimate based on vertical displacement of terrace surfaces (Nakata and Imaizumi,1985)","calculated based on empirical relationship between segment length and slip per event proposed by Awata (1999)",45.4129074983,141.8412206675,45.1942307475,141.9004100852
013-01,Mashikesanchi-toen,10Åã,"45 Åã W",60,Rev.,W,"   0.8","   7.0","   9.1","AD 106 to 1726",,"   0.12",0,0.3,GO,GO,GO,GO,GO,1,"estimate based on vertical displacement of dated terrace  surfaces (Hokkaido,1998)","estimate based on vertical displacement of dated terrace  surfaces (Hokkaido,1998)","N-S trending west-dipping reverse fault along the eastern margin of the Mashike moutains in central Hokkaido","estimate based on vertical displacement of dated terrace  surfaces (Hokkaido,1998)","calculated based on empirical relationship between segment length and slip per event proposed by Awata (1999)",43.855314709,141.8878529532,43.3389911981,141.6548031038
014-01,Tobetsu,0Åã,"45 Åã W",29,Rev.,W,"   0.3","   3.4","  12.0","AD -9124 to -3101",,"   0.67",0.2,0.3,GO,GO,GO,GO,GO,1,"estimate based on vertical displacement of dated terrace  surfaces (Hokkaido,2002; Ouchi,1980)","estimate based on vertical displacement of dated terrace  surfaces (Hokkaido,2002; Ouchi,1980)","N-S trending west-dipping reverse fault from the Mashike mountains to the northwestern margin of the Ishikari Plain in central Hokkaido","estimate based on vertical displacement of dated terrace  surfaces (Hokkaido,2002; Ouchi,1980)","calculated based on empirical relationship between segment length and slip per event proposed by Awata (1999)",43.4812343752,141.5814060876,43.2194502269,141.5765567239
015-01,Umaoi,10Åã,"30 Åã E",66,Rev.,E,"   2.3","   3.3","   1.5","AD 1739 to 1868",,"   0.15",0,2,GO,GO,GO,GO,GO,1,"estimate based on vertical displacement of dated terrace surfaces and sediments (Hokkaido,2001)","estimate based on vertical displacement of dated terrace surfaces and sediments (Hokkaido,2001)","N-S trending east-dipping reverse fault (flexure) with several back-thrusts along the eastern margin of the Ishikari Plain in central Hokkaido","estimate based on vertical displacement of dated terrace surfaces and sediments (Hokkaido,2001)","calculated from the slip rate and the recurrence interval",43.3239717622,141.8885084077,42.7368660529,141.7921752116
015-02,Yufutsu,350Åã,"30 Åã E",25,Rev.,E,"   0.5","   2.9","   6.2","AD -2342 to -1095",,"   0.60",0.2,0.5,GO,GO,GO,GO,GO,0,"estimate based on vertical displacement of the Shikotsu Pyroclastic Flow surface (Ikeda et al,2002)","estimate based on vertical displacement of the Shikotsu Pyroclastic Flow surface (Ikeda et al,2002)","N-S trending east-dipping reverse fault along the eastern margin of the Yufutsu Plain in central Hokkaido","estimate based on vertical displacement of the Shikotsu Pyroclastic Flow surface (Ikeda et al,2002)","calculated based on empirical relationship between segment length and slip per event proposed by Awata (1999)",42.8943663999,141.7153517483,42.6754917362913,141.790635461026
017-01,Karumai,330Åã,"45 Åã W",13,Rev.,W,"   0.0",,,,,,,,GO,GO,GO,GO,GO,0,"tentative estimate based on a qualitative assessment of its geomorphic expression","tentative estimate based on a qualitative assessment of its geomorphic expression","NW-SE trending southwest-dipping reverse fault in central Hokkaido","tentative estimate based on a qualitative assessment of its geomorphic expression","out of current evaluation project because of its low activity",42.7006053851,141.9122084091,42.5984931462,141.9849979075
